asset,asset_class,slot,indicator_id,indicator_type,horizon,ic_or_spread,ic_ir,n_obs,p_value,survives_fdr,low_confidence,note
LQD,credit,Momentum,MO-FISHER-9,continuous,20,0.019759692103075654,-0.2079497155090602,5990,0.6073036908819986,False,False,
LQD,credit,Momentum,MO-KDJ-9,continuous,1,-0.021281620566419333,-0.44977312697764693,6009,0.09494632876536042,False,False,
LQD,credit,Momentum,MO-KDJ-9,continuous,5,0.00018836578304243874,-0.20103607577977925,6005,0.9929883912991103,False,False,
LQD,credit,Momentum,MO-KDJ-9,continuous,10,0.02398065894523945,-0.15538155186900848,6000,0.36167756837303944,False,False,
LQD,credit,Momentum,MO-KDJ-9,continuous,20,0.022833432149473393,-0.16878697616492225,5990,0.43806211367306425,False,False,
LQD,credit,Momentum,MO-MOM-10,continuous,1,0.0011936934140709115,-0.4797505035953297,6007,0.9295977787307791,False,False,
LQD,credit,Momentum,MO-MOM-10,continuous,5,0.04273732730252438,-0.24369912376211747,6003,0.06792374217213422,False,False,
LQD,credit,Momentum,MO-MOM-10,continuous,10,0.04583920990133889,-0.20731838344684259,5998,0.14057644865322036,False,False,
LQD,credit,Momentum,MO-MOM-10,continuous,20,0.03860139575474118,-0.20714613146708788,5988,0.3011826409974735,False,False,
LQD,credit,Momentum,MO-ROC-10,continuous,1,0.0038184490994946337,-0.47683732550047,6007,0.7778340465991032,False,False,
LQD,credit,Momentum,MO-ROC-10,continuous,5,0.04906382265504203,-0.24131447605936504,6003,0.036901091775761126,False,False,
LQD,credit,Momentum,MO-ROC-10,continuous,10,0.05303649888398665,-0.2049591281375895,5998,0.08998951440137411,False,False,
LQD,credit,Momentum,MO-ROC-10,continuous,20,0.04966377091067423,-0.20534190926478676,5988,0.18440628529159886,False,False,
LQD,credit,Momentum,MO-RSI-14,continuous,1,-0.004090708076627129,-0.7642769450745274,6004,0.7540604987315174,False,False,
LQD,credit,Momentum,MO-RSI-14,continuous,5,0.02036341845445682,-0.4202021288352864,6000,0.3889323284423569,False,False,
LQD,credit,Momentum,MO-RSI-14,continuous,10,0.027554945249959037,-0.3355352886945353,5995,0.4053212069417549,False,False,
LQD,credit,Momentum,MO-RSI-14,continuous,20,0.01323012993282256,-0.308229005171148,5985,0.7540172027435146,False,False,
